category,species,grade,nominal,actual_thickness_in,actual_width_in,length_ft,merchant_sku,everyday_price,basis,note
Treated-GC,SYP,AC2 #2 Prime GC,2x6,1.5,5.5,8,1111024,11.97,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x6,1.5,5.5,10,1111037,15.5,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x6,1.5,5.5,12,1111040,19.48,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x6,1.5,5.5,14,1111053,22.59,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x2,1.5,1.5,8,1110740,5.28,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x4,1.5,3.5,6,1110805,6.49,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x4,1.5,3.5,8,1110818,7.14,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x4,1.5,3.5,10,1110821,10.87,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x4,1.5,3.5,12,1110834,13.4,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x4,1.5,3.5,14,1110847,16.39,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
Treated-GC,SYP,AC2 #2 Prime GC,2x4,1.5,3.5,16,1110850,18.24,OBSERVED,reported earlier in chat 2026-09-25 (owner via Grok)
